location,site,habitat,year,ttm,plot.code,teabag.pair,tea.type,length,code,initial.weight,final.weight,soil.moisture.1,soil.moisture.2,soil.moisture.m,moss.thickness,litter.thickness,shrubs,soil.depth,burial.date,recovery.date,days.buried,ph.1,ph.2,ph.m,comments
Iceland,Audkuluheidi,shrub heath,2018,control,AC1,a,G,3,AC1.aG3,2.112,0.9149,33.8,35.7,,,,,,6/7/2018,9/6/2018,91,,, ,
Iceland,Audkuluheidi,shrub heath,2018,control,AC1,b,G,3,AC1.bG3,2.0759,0.8484,46.4,41,,,,,,6/7/2018,9/6/2018,91,,,,
Iceland,Audkuluheidi,shrub heath,2018,control,AC1,a,R,3,AC1.aR3,2.2822,NA,33.8,35.7,,,,,,6/7/2018,9/6/2018,91,,,,
Iceland,Audkuluheidi,shrub heath,2018,control,AC1,b,R,3,AC1.bR3,2.2607,1.7074,46.4,41,,,,,,6/7/2018,9/6/2018,91,,,,
Iceland,Audkuluheidi,shrub heath,2018,control,AC2,a,G,3,AC2.aG3,2.1226,0.84,47.2,39.3,,,,,,6/7/2018,9/6/2018,91,,,,
Iceland,Audkuluheidi,shrub heath,2018,control,AC2,b,G,3,AC2.bG3,2.1614,0.9273,53.9,50.7,,,,,,6/7/2018,9/6/2018,91,,,,
Iceland,Audkuluheidi,shrub heath,2018,control,AC2,a,R,3,AC2.aR3,2.3326,1.7281,47.2,39.3,,,,,,6/7/2018,9/6/2018,91,,,,
Iceland,Audkuluheidi,shrub heath,2018,control,AC2,b,R,3,AC2.bR3,2.2534,1.7202,53.9,50.7,,,,,,6/7/2018,9/6/2018,91,,,,
Iceland,Audkuluheidi,shrub heath,2018,control,AC3,a,G,3,AC3.aG3,2.0819,0.8164,45.9,36.7,,,,,,6/7/2018,9/6/2018,91,,,,
Iceland,Audkuluheidi,shrub heath,2018,control,AC3,b,G,3,AC3.bG3,2.1234,0.8065,43.2,46.4,,,,,,6/7/2018,9/6/2018,91,,,,
Iceland,Audkuluheidi,shrub heath,2018,control,AC3,a,R,3,AC3.aR3,2.2783,1.6739,45.9,36.7,,,,,,6/7/2018,9/6/2018,91,,,,
Iceland,Audkuluheidi,shrub heath,2018,control,AC3,b,R,3,AC3.bR3,2.2676,1.6804,43.2,46.4,,,,,,6/7/2018,9/6/2018,91,,,,
Iceland,Audkuluheidi,shrub heath,2018,control,AC4,a,G,3,AC4.aG3,2.1586,0.8742,54.4,53.9,,,,,,6/7/2018,9/6/2018,91,,,,
Iceland,Audkuluheidi,shrub heath,2018,control,AC4,b,G,3,AC4.bG3,2.1026,0.8575,34,44.3,,,,,,6/7/2018,9/6/2018,91,,,,
Iceland,Audkuluheidi,shrub heath,2018,control,AC4,a,R,3,AC4.aR3,2.3017,1.7783,54.4,53.9,,,,,,6/7/2018,9/6/2018,91,,,,
Iceland,Audkuluheidi,shrub heath,2018,control,AC4,b,R,3,AC4.bR3,2.2637,1.7021,34,44.3,,,,,,6/7/2018,9/6/2018,91,,,,
Iceland,Audkuluheidi,shrub heath,2018,control,AC5,a,G,3,AC5.aG3,2.1416,NA,70.8,39.5,,,,,,6/7/2018,9/6/2018,91,,,,
Iceland,Audkuluheidi,shrub heath,2018,control,AC5,b,G,3,AC5.bG3,2.0458,0.9571,49.5,42.6,,,,,,6/7/2018,9/6/2018,91,,,,
Iceland,Audkuluheidi,shrub heath,2018,control,AC5,a,R,3,AC5.aR3,2.2797,1.7643,70.8,39.5,,,,,,6/7/2018,9/6/2018,91,,,,
Iceland,Audkuluheidi,shrub heath,2018,control,AC5,b,R,3,AC5.bR3,2.2411,1.7127,49.5,42.6,,,,,,6/7/2018,9/6/2018,91,,,,
Iceland,Audkuluheidi,shrub heath,2018,control,AC6,a,G,3,AC6.aG3,2.0004,0.9117,52.5,53.6,,,,,,6/7/2018,9/6/2018,91,,,,
Iceland,Audkuluheidi,shrub heath,2018,control,AC6,b,G,3,AC6.bG3,2.0368,0.9475,76,53.3,,,,,,6/7/2018,9/6/2018,91,,,,
Iceland,Audkuluheidi,shrub heath,2018,control,AC6,a,R,3,AC6.aR3,2.3115,1.7129,52.5,53.6,,,,,,6/7/2018,9/6/2018,91,,,,
Iceland,Audkuluheidi,shrub heath,2018,control,AC6,b,R,3,AC6.bR3,2.2831,1.792,76,53.3,,,,,,6/7/2018,9/6/2018,91,,,,
Iceland,Audkuluheidi,shrub heath,2018,control,AC7,a,G,3,AC7.aG3,2.092,1.011,91.2,50.4,,,,,,6/7/2018,9/6/2018,91,,,,
Iceland,Audkuluheidi,shrub heath,2018,control,AC7,b,G,3,AC7.bG3,2.1515,1.0141,59.7,46,,,,,,6/7/2018,9/6/2018,91,,,,
Iceland,Audkuluheidi,shrub heath,2018,control,AC7,a,R,3,AC7.aR3,2.2415,1.7674,91.2,50.4,,,,,,6/7/2018,9/6/2018,91,,,,
Iceland,Audkuluheidi,shrub heath,2018,control,AC7,b,R,3,AC7.bR3,2.2476,1.672,59.7,46,,,,,,6/7/2018,9/6/2018,91,,,,
Iceland,Audkuluheidi,shrub heath,2018,control,AC8,a,G,3,AC8.aG3,2.0365,0.8067,48.1,55,,,,,,6/7/2018,9/6/2018,91,,,,
Iceland,Audkuluheidi,shrub heath,2018,control,AC8,b,G,3,AC8.bG3,2.0507,0.6526,57.9,52.2,,,,,,6/7/2018,9/6/2018,91,,,,
Iceland,Audkuluheidi,shrub heath,2018,control,AC8,a,R,3,AC8.aR3,2.2217,1.7155,48.1,55,,,,,,6/7/2018,9/6/2018,91,,,,
Iceland,Audkuluheidi,shrub heath,2018,control,AC8,b,R,3,AC8.bR3,2.2146,1.6698,57.9,52.2,,,,,,6/7/2018,9/6/2018,91,,,,
Iceland,Audkuluheidi,shrub heath,2018,control,AC9,a,G,3,AC9.aG3,2.1676,0.9255,61.8,48.8,,,,,,6/7/2018,9/6/2018,91,,,,
Iceland,Audkuluheidi,shrub heath,2018,control,AC9,b,G,3,AC9.bG3,2.0071,0.8484,56.1,59.2,,,,,,6/7/2018,9/6/2018,91,,,,
Iceland,Audkuluheidi,shrub heath,2018,control,AC9,a,R,3,AC9.aR3,2.2908,1.738,61.8,48.8,,,,,,6/7/2018,9/6/2018,91,,,,
