location,site,habitat,year,ttm,plot.code,teabag.pair,tea.type,length,code,initial.weight,final.weight,soil.moisture.1,soil.moisture.2,soil.moisture.m,moss.thickness,litter.thickness,shrubs,soil.depth,burial.date,recovery.date,days.buried,ph.1,ph.2,ph.m,comments
Svalbard,Endalen,NNW moss,2016,control,A1,a,G,F,A1.aGF,1.924,0.9594,,,36.9,3,,,5,,,,,,,
Svalbard,Endalen,NNW moss,2016,control,A1,b,G,F,A1.bGF,1.950,0.854,,,36.9,3,,,4,,,,,,,
Svalbard,Endalen,NNW moss,2016,control,A1,a,R,F,A1.aRF,2.219,1.7751,,,36.9,3,,,4,,,,,,,
Svalbard,Endalen,NNW moss,2016,control,A1,b,R,F,A1.bRF,2.198,1.6023,,,36.9,4,,,5,,,,,,,
Svalbard,Endalen,NNW moss,2016,control,A1,a,G,3,A1.aG3,1.982,0.915,,,37.8,5,,,6,,,,,,,
Svalbard,Endalen,NNW moss,2016,control,A1,b,G,3,A1.bG3,1.912,0.8142,,,36.7,6,,,2,,,,,,,
Svalbard,Endalen,NNW moss,2016,control,A1,a,R,3,A1.aR3,2.193,1.6981,,,37.8,6,,,8,,,,,,,
Svalbard,Endalen,NNW moss,2016,control,A1,b,R,3,A1.bR3,2.208,1.6702,,,36.7,5,,,3,,,,,,,
Svalbard,Endalen,NNW moss,2016,warming,A10,a,G,F,A10.aGF,2.061,0.9819,,,32.8,6,,,4,,,,,,,
Svalbard,Endalen,NNW moss,2016,warming,A10,b,G,F,A10.bGF,2.019,1.0696,,,44.1,4,,,6,,,,,,,
Svalbard,Endalen,NNW moss,2016,warming,A10,a,R,F,A10.aRF,2.241,1.6233,,,32.8,5,,,5,,,,,,,
Svalbard,Endalen,NNW moss,2016,warming,A10,b,R,F,A10.bRF,2.242,1.8267,,,44.1,3,,,7,,,,,,,
Svalbard,Endalen,NNW moss,2016,warming,A10,a,G,3,A10.aG3,2.064,1.1249,,,23.7,6,,,5,,,,,,,
Svalbard,Endalen,NNW moss,2016,warming,A10,b,G,3,A10.bG3,2.040,1.1477,,,41.6,4,,,6,,,,,,,
Svalbard,Endalen,NNW moss,2016,warming,A10,a,R,3,A10.aR3,2.233,1.7582,,,23.7,6,,,5,,,,,,,
Svalbard,Endalen,NNW moss,2016,warming,A10,b,R,3,A10.bR3,2.244,1.8148,,,41.6,4,,,6,,,,,,,
Svalbard,Endalen,NNW moss,2016,exclosure,A11,a,G,F,A11.aGF,1.986,1.1331,,,31,5,,,5,,,,,,,
Svalbard,Endalen,NNW moss,2016,exclosure,A11,b,G,F,A11.bGF,2.109,1.0393,,,44.4,9,,,6,,,,,,,
Svalbard,Endalen,NNW moss,2016,exclosure,A11,a,R,F,A11.aRF,2.192,1.7255,,,31,5,,,5,,,,,,,
Svalbard,Endalen,NNW moss,2016,exclosure,A11,b,R,F,A11.bRF,2.181,1.7376,,,44.4,9,,,6,,,,,,,
Svalbard,Endalen,NNW moss,2016,exclosure,A11,a,G,3,A11.aG3,2.097,1.2018,,,52.5,3,,,5,,,,,,,
Svalbard,Endalen,NNW moss,2016,exclosure,A11,b,G,3,A11.bG3,1.988,1.1874,,,63.1,5,,,8,,,,,,,
Svalbard,Endalen,NNW moss,2016,exclosure,A11,a,R,3,A11.aR3,2.174,1.7919,,,52.5,1,,,6,,,,,,,
Svalbard,Endalen,NNW moss,2016,exclosure,A11,b,R,3,A11.bR3,2.164,1.791,,,63.1,5,,,8,,,,,,,
Svalbard,Endalen,NNW moss,2016,control,A12,a,G,F,A12.aGF,2.035,1.0394,,,56.7,6,,,5,,,,,,,
Svalbard,Endalen,NNW moss,2016,control,A12,b,G,F,A12.bGF,2.007,0.9559,,,43.9,8,,,4,,,,,,,
Svalbard,Endalen,NNW moss,2016,control,A12,a,R,F,A12.aRF,2.183,1.7097,,,56.7,6,,,5,,,,,,,
Svalbard,Endalen,NNW moss,2016,control,A12,b,R,F,A12.bRF,2.168,1.6888,,,43.9,7,,,7,,,,,,,
Svalbard,Endalen,NNW moss,2016,control,A12,a,G,3,A12.aG3,1.985,0.926,,,20.6,6,,DRYOCT,4,,,,,,,
Svalbard,Endalen,NNW moss,2016,control,A12,b,G,3,A12.bG3,1.889,NA,,,37.6,3,,,6,,,,,,,
Svalbard,Endalen,NNW moss,2016,control,A12,a,R,3,A12.aR3,2.188,1.7754,,,20.6,11,,DRYOCT,4,,,,,,,
Svalbard,Endalen,NNW moss,2016,control,A12,b,R,3,A12.bR3,2.221,1.7887,,,37.6,5,,,7,,,,,,,
Svalbard,Endalen,NNW moss,2016,exclosure,A13,a,G,F,A13.aGF,2.038,1.0021,,,36.4,4,,,6,,,,,,,
Svalbard,Endalen,NNW moss,2016,exclosure,A13,b,G,F,A13.bGF,2.096,1.0354,,,22.3,2,,,3,,,,,,,
Svalbard,Endalen,NNW moss,2016,exclosure,A13,a,R,F,A13.aRF,2.160,1.7915,,,36.4,4,,,6,,,,,,,
Svalbard,Endalen,NNW moss,2016,exclosure,A13,b,R,F,A13.bRF,2.187,1.6135,,,22.3,3,,,3,,,,,,,
Svalbard,Endalen,NNW moss,2016,exclosure,A13,a,G,3,A13.aG3,1.909,1.0417,,,22.5,5,,,8,,,,,,,
Svalbard,Endalen,NNW moss,2016,exclosure,A13,b,G,3,A13.bG3,2.059,1.0749,,,26.3,2,,,5,,,,,,,
Svalbard,Endalen,NNW moss,2016,exclosure,A13,a,R,3,A13.aR3,2.185,1.7888,,,22.5,5,,,8,,,,,,,
Svalbard,Endalen,NNW moss,2016,exclosure,A13,b,R,3,A13.bR3,2.142,1.7498,,,26.3,3,,,6,,,,,,,
Svalbard,Endalen,NNW moss,2016,control,A14,a,G,F,A14.aGF,1.966,1.0283,,,44,3,,,4,,,,,,,
Svalbard,Endalen,NNW moss,2016,control,A14,b,G,F,A14.bGF,2.149,0.9391,,,66.5,5,,,6,,,,,,,
Svalbard,Endalen,NNW moss,2016,control,A14,a,R,F,A14.aRF,2.207,1.7694,,,44,3,,,4,,,,,,,
Svalbard,Endalen,NNW moss,2016,control,A14,b,R,F,A14.bRF,2.207,NA,,,66.5,5,,,5,,,,,,,
Svalbard,Endalen,NNW moss,2016,control,A14,a,G,3,A14.aG3,1.981,0.899,,,54.5,3,,,4,,,,,,,
Svalbard,Endalen,NNW moss,2016,control,A14,b,G,3,A14.bG3,2.120,1.0654,,,62.7,1,,,4,,,,,,,
Svalbard,Endalen,NNW moss,2016,control,A14,a,R,3,A14.aR3,2.189,NA,,,54.5,4,,,4,,,,,,,
Svalbard,Endalen,NNW moss,2016,control,A14,b,R,3,A14.bR3,2.144,1.709,,,62.7,3,,,4,,,,,,,
Svalbard,Endalen,NNW moss,2016,exclosure,A15,a,G,F,A15.aGF,2.181,0.7915,,,52.6,10,,,5,,,,,,,
Svalbard,Endalen,NNW moss,2016,exclosure,A15,b,G,F,A15.bGF,2.173,1.0461,,,38.4,4,,,7,,,,,,,
Svalbard,Endalen,NNW moss,2016,exclosure,A15,a,R,F,A15.aRF,2.142,1.6173,,,52.6,10,,,5,,,,,,,
Svalbard,Endalen,NNW moss,2016,exclosure,A15,b,R,F,A15.bRF,2.197,1.7697,,,38.4,4,,,8,,,,,,,
Svalbard,Endalen,NNW moss,2016,exclosure,A15,a,G,3,A15.aG3,2.084,1.2212,,,51.1,10,,,5,,,,,,,
Svalbard,Endalen,NNW moss,2016,exclosure,A15,b,G,3,A15.bG3,2.124,1.1179,,,31.6,3,,,6,,,,,,,
Svalbard,Endalen,NNW moss,2016,exclosure,A15,a,R,3,A15.aR3,2.171,1.7105,,,51.1,10,,,5,,,,,,,
Svalbard,Endalen,NNW moss,2016,exclosure,A15,b,R,3,A15.bR3,2.231,1.6975,,,31.6,4,,,5,,,,,,,
Svalbard,Endalen,NNW moss,2016,warming,A2,a,G,F,A2.aGF,1.965,0.9838,,,46.7,5,,,5,,,,,,,
Svalbard,Endalen,NNW moss,2016,warming,A2,b,G,F,A2.bGF,1.920,0.9712,,,31.9,4,,,6,,,,,,,
Svalbard,Endalen,NNW moss,2016,warming,A2,a,R,F,A2.aRF,2.184,1.6983,,,46.7,5,,,8,,,,,,,
Svalbard,Endalen,NNW moss,2016,warming,A2,b,R,F,A2.bRF,2.297,1.7228,,,31.9,5,,,5,,,,,,,
Svalbard,Endalen,NNW moss,2016,warming,A2,a,G,3,A2.aG3,1.952,1.1163,,,55.5,5,,,4,,,,,,,
Svalbard,Endalen,NNW moss,2016,warming,A2,b,G,3,A2.bG3,2.018,1.179,,,33,3,,,3,,,,,,,
