location	site	habitat	year	ttm	plot.code	teabag.pair	tea.type	length	code	initial.weight	final.weight	soil.moisture.1	soil.moisture.2	soil.moisture.m	moss.thickness	litter.thickness	shrubs	soil.depth	burial.date	recovery.date	days.buried	ph.1	ph.2	ph.m	comments
Iceland	Audkuluheidi	shrub heath	2016	control	AC1	a	G	3	AC1.aG3	2.0310	0.9983			31.9	10				12.6.2016	25.9.2016	105	5.89	5.89	5.89	
Iceland	Audkuluheidi	shrub heath	2016	control	AC1	b	G	3	AC1.bG3	2.1111	0.9239			31.7	2		BETNAN		12.6.2016	25.9.2016	105	5.9	5.9	5.90	
Iceland	Audkuluheidi	shrub heath	2016	control	AC1	a	R	3	AC1.aR3	2.1312	0.9983			31.9	10				12.6.2016	25.9.2016	105				
Iceland	Audkuluheidi	shrub heath	2016	control	AC1	b	R	3	AC1.bR3	2.1714	1.6138			31.7	2		BETNAN		12.6.2016	25.9.2016	105				
Iceland	Audkuluheidi	shrub heath	2016	control	AC10	a	G	3	AC10.aG3	2.1242	1.0368			35.5	3				12.6.2016	25.9.2016	105	5.83	5.82	5.83	
Iceland	Audkuluheidi	shrub heath	2016	control	AC10	b	G	3	AC10.bG3	1.9661	0.9807			22.3	12				12.6.2016	25.9.2016	105	5.94	5.88	5.91	
Iceland	Audkuluheidi	shrub heath	2016	control	AC10	a	R	3	AC10.aR3	2.1227	1.5687			35.5	3				12.6.2016	25.9.2016	105				
Iceland	Audkuluheidi	shrub heath	2016	control	AC10	b	R	3	AC10.bR3	2.1861	1.7043			22.3	12				12.6.2016	25.9.2016	105				
Iceland	Audkuluheidi	shrub heath	2016	control	AC2	a	G	3	AC2.aG3	2.0216	1.0868			33.9	6				12.6.2016	25.9.2016	105	5.91	5.91	5.91	
Iceland	Audkuluheidi	shrub heath	2016	control	AC2	b	G	3	AC2.bG3	2.1655	1.2102			55.2	2.5				12.6.2016	25.9.2016	105	5.95	5.95	5.95	
Iceland	Audkuluheidi	shrub heath	2016	control	AC2	a	R	3	AC2.aR3	2.1226	1.6255			33.9	5.5				12.6.2016	25.9.2016	105				
Iceland	Audkuluheidi	shrub heath	2016	control	AC2	b	R	3	AC2.bR3	2.1358	1.7255			55.2	4				12.6.2016	25.9.2016	105				
Iceland	Audkuluheidi	shrub heath	2016	control	AC3	a	G	3	AC3.aG3	2.0243	1.0122			45.8	4				12.6.2016	25.9.2016	105	5.86	5.86	5.86	
Iceland	Audkuluheidi	shrub heath	2016	control	AC3	b	G	3	AC3.bG3	2.1431	1.1095			31.3	2		SILACA		12.6.2016	25.9.2016	105	5.72	5.72	5.72	
Iceland	Audkuluheidi	shrub heath	2016	control	AC3	a	R	3	AC3.aR3	2.1314	1.6564			45.8	4		BETNAN		12.6.2016	25.9.2016	105				
Iceland	Audkuluheidi	shrub heath	2016	control	AC3	b	R	3	AC3.bR3	2.1501	1.5205			31.3	3				12.6.2016	25.9.2016	105				
